API区分,試算番号,バージョン,自動更新,アカウント名（契約先/納入先）,請求先（受注先）
I,QJ00705325,1,,1000007670,1000024259
I,QJ00775535,1,,1000020304,1000020304
I,QJ00813989,1,,1000049489,1000029101
I,QJ00840231,1,,1000006583,1000006583
I,QJ00885386,1,,1000312367,1000002260
I,QJ00887645,1,,1000327682,1000032843
I,QJ00891233,1,,1000009439,1000009439
I,QJ00905145,1,,1000013766,1000013766
I,QJ00906988,1,,1000329749,1000022569
I,QJ00910533,1,,1000041176,1000016112
I,QJ00910550,1,,1000330174,1000330174
I,QJ00910600,1,,1000040140,1000000453
I,QJ00911442,1,,1000327905,1000025669
I,QJ00913302,1,,1000135241,1000135241
I,QJ00913999,1,,1000329929,1000004783
I,QJ00914393,1,,1000028101,1000017761
I,QJ00918857,1,,1000080503,1000009710
I,QJ00919500,1,,1000082582,1000304767
I,QJ00919516,1,,1000089313,1000027783
I,QJ00919597,1,,1000329593,1000304989
I,QJ00920326,1,,1000077913,1000077913
I,QJ00920360,1,,1000128363,1000128363
I,QJ00921020,1,,1000011201,1000011201
I,QJ00921313,1,,1000007608,1000016819
I,QJ00921463,1,,1000025418,1000031731
I,QJ00922314,1,,1000076749,1000076749
I,QJ00924256,1,,1000020431,1000020431
I,QJ00924894,1,,1000032917,1000032917
I,QJ00925038,1,,1000050503,1000000453
I,QJ00926182,1,,1000022928,1000022928
I,QJ00926343,1,,1000303525,1000011408
I,QJ00926627,1,,1000003174,1000319469
I,QJ00927362,1,,1000081843,1000000453
I,QJ00928253,1,,1000327542,1000026893
I,QJ00928805,1,,1000013778,1000013778
I,QJ00930306,1,,1000024687,1000028691
I,QJ00930388,1,,1000085607,1000033719
I,QJ00930581,1,,1000330017,1000330017
I,QJ00930631,1,,1000329084,1000329084
I,QJ00930878,1,,1000233224,1000037848
I,QJ00931074,1,,1000018607,1000018607
I,QJ00931633,1,,1000227779,1000031875
I,QJ00931948,1,,1000010390,1000031973
I,QJ00932524,1,,1000083016,1000009710
I,QJ00933382,1,,1000081131,1000014371
I,QJ00934302,1,,1000025418,1000025362
I,QJ00935187,1,,1000246112,1000018686
I,QJ00936423,1,,1000195580,1000000453
I,QJ00937808,1,,1000029914,1000029914
I,QJ00938591,1,,1000029336,1000029336
I,QJ00939009,1,,1000329681,1000032445
I,QJ00939249,1,,1000293293,1000293293
I,QJ00939713,1,,1000048831,1000048831
I,QJ00939742,1,,1000032913,1000032972
I,QJ00940198,1,,1000028728,1000028691
I,QJ00942695,1,,1000028101,1000028101
I,QJ00943717,1,,1000005176,1000005180
I,QJ00944328,1,,1000040962,1000009710
I,QJ00944653,1,,1000028988,1000005418
I,QJ00944656,1,,1000018867,1000018867
I,QJ00944849,1,,1000085607,1000033719
I,QJ00945209,1,,1000189396,1000028681
I,QJ00945545,1,,1000330318,1000033324
I,QJ00945999,1,,1000085580,1000006765
I,QJ00946051,1,,1000004902,1000004994
I,QJ00946089,1,,1000010225,1000032312
I,QJ00946278,1,,1000082578,1000006248
I,QJ00946279,1,,1000001182,1000001182
I,QJ00946548,1,,1000026205,1000023139
I,QJ00946775,1,,1000326348,1000031633
I,QJ00947029,1,,1000002417,1000030522
I,QJ00947484,1,,1000026662,1000005792
I,QJ00947934,1,,1000018684,1000018689
I,QJ00947980,1,,1000085479,1000025831
I,QJ00948158,1,,1000329104,1000033749
I,QJ00948444,1,,1000003412,1000003397
I,QJ00948631,1,,1000015854,1000015854
I,QJ00948715,1,,1000032917,1000005474
I,QJ00948738,1,,1000327831,1000016002
I,QJ00948904,1,,1000030787,1000023139
I,QJ00948942,1,,1000329643,1000004701
I,QJ00949128,1,,1000014072,1000005979
I,QJ00949360,1,,1000006667,1000006667
I,QJ00949453,1,,1000330661,1000330661
I,QJ00949649,1,,1000216445,1000028884
I,QJ00949652,1,,1000001126,1000001115
I,QJ00949653,1,,1000082022,1000029006
I,QJ00949797,1,,1000001121,1000330970
I,QJ00950071,1,,1000032031,1000032031
I,QJ00950506,1,,1000023958,1000023958
I,QJ00950978,1,,1000027843,1000014657
I,QJ00951111,1,,1000012576,1000012576
I,QJ00951303,1,,1000284966,1000284966
I,QJ00951656,1,,1000084858,1000021786
I,QJ00951708,1,,1000078442,1000027029
I,QJ00951822,1,,1000004956,1000004995
I,QJ00951932,1,,1000331099,1000000460
I,QJ00952201,1,,1000024687,1000024687
I,QJ00953206,1,,1000329977,1000015054
I,QJ00953329,1,,1000325502,1000307873
I,QJ00953382,1,,1000324210,1000032182
I,QJ00953548,1,,1000013766,1000013766
I,QJ00953701,1,,1000010899,1000010956
I,QJ00954226,1,,1000308824,1000028376
I,QJ00955065,1,,1000020232,1000020232
I,QJ00955201,1,,1000310715,1000310715
I,QJ00955283,1,,1000081662,1000330215
I,QJ00955509,1,,1000322721,1000322721
I,QJ00955543,1,,1000003769,1000005964
I,QJ00955567,1,,1000329761,1000329761
I,QJ00955599,1,,1000330337,1000319286
I,QJ00955658,1,,1000328921,1000004711
I,QJ00955882,1,,1000085033,1000023315
I,QJ00956268,1,,1000166941,1000166941
I,QJ00956478,1,,1000007743,1000007778
I,QJ00956509,1,,1000010225,1000032312
I,QJ00957160,1,,1000327905,1000009396
I,QJ00957375,1,,1000107180,1000000453
I,QJ00958658,1,,1000033449,1000033719
I,QJ00959392,1,,1000015324,1000015324
I,QJ00959398,1,,1000019406,1000305026
I,QJ00959713,1,,1000002554,1000011142
I,QJ00960129,1,,1000042845,1000006765
I,QJ00960216,1,,1000178149,1000016819
I,QJ00960230,1,,1000009354,1000003101
I,QJ00960952,1,,1000329652,1000318171
I,QJ00961108,1,,1000328875,1000032972
I,QJ00961151,1,,1000007495,1000007495
I,QJ00961425,1,,1000030189,1000030189
I,QJ00961510,1,,1000001121,1000001121
I,QJ00961607,1,,1000079948,1000079948
I,QJ00961763,1,,1000031531,1000023315
I,QJ00961766,1,,1000006803,1000006803
I,QJ00961808,1,,1000008762,1000008762
I,QJ00961828,1,,1000042261,1000015341
I,QJ00961903,1,,1000022291,1000022291
I,QJ00962485,1,,1000283535,1000027783
I,QJ00962852,1,,1000081824,1000000453
I,QJ00962869,1,,1000078442,1000021761
I,QJ00962984,1,,1000330248,1000330248
I,QJ00963064,1,,1000330630,1000330630
I,QJ00963126,1,,1000216445,1000028884
I,QJ00963363,1,,1000029817,1000029817
I,QJ00963364,1,,1000020363,1000020363
I,QJ00965096,1,,1000076719,1000009402
I,QJ00965169,1,,1000037104,1000012096
I,QJ00965191,1,,1000038839,1000028884
I,QJ00965192,1,,1000250971,1000028884
I,QJ00965496,1,,1000010463,1000010463
I,QJ00965498,1,,1000148858,1000002305
I,QJ00965600,1,,1000007092,1000007092
I,QJ00966054,1,,1000013778,1000029834
I,QJ00966110,1,,1000326054,1000016109
I,QJ00966419,1,,1000009559,1000009559
I,QJ00966430,1,,1000014936,1000014930
I,QJ00966436,1,,1000075265,1000331103
I,QJ00966623,1,,1000329929,1000329929
I,QJ00966679,1,,1000331321,1000331321
I,QJ00966693,1,,1000331203,1000025831
I,QJ00966733,1,,1000006217,1000006217
I,QJ00966736,1,,1000014668,1000014668
I,QJ00966799,1,,1000076756,1000076756
I,QJ00967528,1,,1000325221,1000012096
I,QJ00967814,1,,1000328921,1000037503
I,QJ00967912,1,,1000011736,1000011736
I,QJ00968048,1,,1000011810,1000011810
I,QJ00968328,1,,1000039648,1000000453
I,QJ00968402,1,,1000011100,1000011100
I,QJ00968449,1,,1000033701,1000004775
I,QJ00968749,1,,1000087394,1000033324
I,QJ00968945,1,,1000081139,1000081139
I,QJ00968947,1,,1000330271,1000025081
I,QJ00969157,1,,1000041306,1000026285
I,QJ00969355,1,,1000084873,1000010319
I,QJ00969520,1,,1000073926,1000024404
I,QJ00969649,1,,1000003136,1000003136
I,QJ00969822,1,,1000089313,1000027783
I,QJ00970179,1,,1000330821,1000015718
I,QJ00970248,1,,1000002554,1000002554
I,QJ00970387,1,,1000214554,1000031150
