試算番号（明細）,バージョン1,PLANID,品目コード,基本数量単位,数量,販売伝票通貨,標準単価,□S販売単価,契約開始日,契約終了日,解約日,契約期間数,更新期間数,HARIS伝票区分,受注伝票番号,受注明細番号,□前受注伝票番号,□前受注明細番号,ERP見積番号,見積明細番号,開始日追加
QJ00705325,,,UX14393,個,1,JPY,0,,2014/4/1,2209/3/31,,2340,0,1,705325,200,,,,,
QJ00775535,,,UX14233,個,1,JPY,0,,2014/6/30,2020/6/30,,72,0,1,784413,2100,,,,,
QJ00775535,,,UX14243,個,1,JPY,0,,2014/6/30,2020/6/30,,72,0,1,784413,2200,,,,,
QJ00775535,,,UX14253,個,1,JPY,0,,2014/6/30,2020/6/30,,72,0,1,784413,2400,,,,,
QJ00775535,,,UX14373,個,1,JPY,0,,2015/6/30,2020/6/30,,60,0,1,784413,2700,,,,,
QJ00775535,,,UX14043,個,1,JPY,0,,2014/6/30,2020/6/30,,72,0,1,784413,2800,,,,,
QJ00813989,,,UX148H3,個,1,JPY,0,,2014/8/1,2021/7/31,,84,0,1,845507,1600,,,,,
QJ00840231,,,UX141G3,個,1,JPY,0,,2015/1/31,2021/1/30,,72,0,1,852017,1700,,,,,
QJ00840231,,,UX14293,個,1,JPY,0,,2015/1/31,2021/1/30,,72,0,1,852017,1800,,,,,
QJ00840231,,,UX14303,個,1,JPY,0,,2015/1/31,2021/1/30,,72,0,1,852017,1900,,,,,
QJ00840231,,,UX14353,個,1,JPY,0,,2015/1/31,2021/1/30,,72,0,1,852017,3200,,,,,
QJ00885386,,,UX14383,個,1,JPY,0,,2015/2/1,2020/1/31,,60,0,1,906014,1700,,,,,
QJ00887645,,,UX14383,個,1,JPY,0,,2015/1/5,2020/1/4,,60,0,1,905875,1800,,,,,
QJ00891233,,,UX142K3,個,1,JPY,0,,2014/12/1,2020/2/29,,63,0,1,954224,1300,,,,,
QJ00891233,,,UX142P3,個,100,JPY,0,,2014/12/1,2020/2/29,,63,0,1,954224,1400,,,,,
QJ00891233,,,UX143V3,個,50,JPY,0,,2014/12/1,2020/2/29,,63,0,1,954224,1500,,,,,
QJ00891233,,,UX142V3,個,100,JPY,0,,2014/12/1,2020/2/29,,63,0,1,954224,1600,,,,,
QJ00891233,,,UX141G3,個,1,JPY,0,,2014/12/1,2020/2/29,,63,0,1,954224,1700,,,,,
QJ00905145,,,UX141G3,個,1,JPY,0,,2015/3/1,2020/2/29,,60,0,1,976191,5600,,,,,
QJ00906988,,,UX14383,個,1,JPY,0,,2015/2/1,2020/1/31,,60,0,1,914792,2500,,,,,
QJ00910533,,,UX140X5,個,1,JPY,0,,2015/2/10,2020/2/9,,60,0,1,917092,2100,,,,,
QJ00910550,,,UX14383,個,1,JPY,0,,2015/1/15,2020/1/14,,60,0,1,915636,3200,,,,,
QJ00910600,,,UX140X5,個,1,JPY,0,,2015/1/7,2020/1/6,,60,0,1,926178,2500,,,,,
QJ00911442,,,UX140X5,個,1,JPY,0,,2015/2/1,2020/1/31,,60,0,1,924705,3100,,,,,
QJ00913302,,,UX140X5,個,1,JPY,0,,2015/2/1,2020/1/31,,60,0,1,914921,1100,,,,,
QJ00913999,,,UX14383,個,1,JPY,0,,2015/2/2,2020/2/1,,60,0,1,913999,2200,,,,,
QJ00914393,,,UX141G3,個,1,JPY,0,,2015/2/1,2020/1/31,,60,0,1,914393,200,,,,,
QJ00914393,,,UX142K3,個,1,JPY,0,,2015/2/1,2020/1/31,,60,0,1,914393,300,,,,,
QJ00914393,,,UX142P3,個,100,JPY,0,,2015/2/1,2020/1/31,,60,0,1,914393,400,,,,,
QJ00914393,,,UX143S3,個,20,JPY,0,,2015/2/1,2020/1/31,,60,0,1,914393,500,,,,,
QJ00918857,,,UX14383,個,1,JPY,0,,2015/1/15,2020/1/14,,60,0,1,927961,1900,,,,,
QJ00919500,,,UX140X5,個,1,JPY,0,,2015/2/1,2020/1/31,,60,0,1,919500,100,,,,,
QJ00919516,,,UX140X5,個,1,JPY,0,,2015/1/15,2020/1/31,,61,0,1,919516,200,,,,,
QJ00919597,,,UX140X5,個,1,JPY,0,,2015/2/1,2020/1/31,,60,0,1,928423,1800,,,,,
QJ00920326,,,UX140H5,個,1,JPY,0,,2015/1/8,2020/1/7,,60,0,1,920326,100,,,,,
QJ00920326,,,UX142N3,個,10,JPY,0,,2015/1/8,2020/1/7,,60,0,1,920326,200,,,,,
QJ00920326,,,UX143N3,個,2,JPY,0,,2015/1/8,2020/1/7,,60,0,1,920326,300,,,,,
QJ00920326,,,UX142U3,個,10,JPY,0,,2015/1/8,2020/1/7,,60,0,1,920326,400,,,,,
QJ00920326,,,UX144R3,個,2,JPY,0,,2015/1/8,2020/1/7,,60,0,1,920326,500,,,,,
QJ00920326,,,UX141G3,個,1,JPY,0,,2015/1/8,2020/1/7,,60,0,1,920326,600,,,,,
QJ00920360,,,UX14383,個,1,JPY,0,,2015/5/1,2020/5/31,,61,0,1,935270,3100,,,,,
QJ00921020,,,UX140X5,個,1,JPY,0,,2015/2/1,2020/1/31,,60,0,1,936278,1300,,,,,
QJ00921313,,,UX140X5,個,1,JPY,0,,2015/2/1,2020/1/31,,60,0,1,921313,200,,,,,
QJ00921463,,,UX142U3,個,10,JPY,0,,2015/1/27,2020/1/31,,60,0,1,934067,3100,,,,,
QJ00922314,,,UX144F7,個,1,JPY,0,,2015/2/1,2020/1/31,,60,0,1,935066,1500,,,,,
QJ00924256,,,UX142K3,個,1,JPY,0,,2015/2/1,2020/1/31,,60,0,1,924256,100,,,,,
QJ00924256,,,UX142N3,個,10,JPY,0,,2015/2/1,2020/1/31,,60,0,1,924256,200,,,,,
QJ00924256,,,UX143R3,個,5,JPY,0,,2015/2/1,2020/1/31,,60,0,1,924256,300,,,,,
QJ00924256,,,UX143N3,個,2,JPY,0,,2015/2/1,2020/1/31,,60,0,1,924256,400,,,,,
QJ00924256,,,UX14955,個,20,JPY,0,,2015/2/1,2020/1/31,,60,0,1,924256,500,,,,,
