API区分,試算番号,バージョン,自動更新,アカウント名（契約先/納入先）,請求先（受注先）
I,QJ00087332,001,,1000049872,1000049872
I,QJ00088189,001,,1000116710,1000116710
I,QJ00291123,001,,1000314464,1000015054
I,QJ00291275,001,,1000083326,1000026805
I,QJ00293407,001,,1000180226,1000016963
I,QJ00300055,001,,1000082766,1000007783
I,QJ00301461,001,,1000029068,1000029068
I,QJ00301771,001,,1000039853,1000028470
I,QJ00302220,001,,1000312525,1000031731
I,QJ00302410,001,,1000262756,1000032972
I,QJ00302476,001,,1000164296,1000032972
I,QJ00302542,001,,1000155724,1000155724
I,QJ00302957,001,,1000315228,1000009703
I,QJ00303129,001,,1000314942,1000004018
I,QJ00303710,001,,1000314336,1000006765
I,QJ00304775,001,,1000031674,1000023834
I,QJ00305331,001,,1000043154,1000026805
I,QJ00305529,001,,1000315281,1000315281
I,QJ00307543,001,,1000050655,1000019498
I,QJ00309154,001,,1000315200,1000015341
I,QJ00313346,001,,1000031824,1000022854
I,QJ00313787,001,,1000276566,1000015718
I,QJ00314078,001,,1000076816,1000076816
I,QJ00314405,001,,1000029068,1000310785
I,QJ00314505,001,,1000029791,1000029791
I,QJ00317783,001,,1000301524,1000003391
I,QJ00318310,001,,1000315475,1000024212
I,QJ00318355,001,,1000313704,1000025819
I,QJ00318836,001,,1000106046,1000016002
I,QJ00319088,001,,1000099986,1000099986
I,QJ00319197,001,,1000080954,1000015008
I,QJ00319421,001,,1000018320,1000018320
I,QJ00320259,001,,1000020778,1000020778
I,QJ00323792,001,,1000190196,1000190196
I,QJ00324780,001,,1000213117,1000213117
I,QJ00325869,001,,1000314881,1000314881
I,QJ00326037,001,,1000012534,1000012534
I,QJ00327126,001,,1000304163,1000013495
I,QJ00327476,001,,1000098384,1000315803
I,QJ00327665,001,,1000014274,1000014274
I,QJ00329649,001,,1000048644,1000023834
I,QJ00331011,001,,1000312525,1000031731
I,QJ00332085,001,,1000315408,1000315408
I,QJ00332180,001,,1000315638,1000032165
I,QJ00332430,001,,1000313420,1000022488
I,QJ00333967,001,,1000216641,1000028884
I,QJ00334412,001,,1000312525,1000023813
I,QJ00334550,001,,1000028402,1000002921
I,QJ00335941,001,,1000314942,1000004018
I,QJ00335994,001,,1000315833,1000004025
I,QJ00336251,001,,1000314537,1000314537
I,QJ00336313,001,,1000013434,1000021070
I,QJ00336333,001,,1000315694,1000315694
I,QJ00336421,001,,1000166979,1000166979
I,QJ00336570,001,,1000188399,1000031556
