試算番号（明細）,バージョン1,PLANID,品目コード,基本数量単位,数量,販売伝票通貨,標準単価,□S販売単価,契約開始日,契約終了日,解約日,契約期間数,更新期間数,HARIS伝票区分,受注伝票番号,受注明細番号,□前受注伝票番号,□前受注明細番号,ERP見積番号,見積明細番号,期間開始日
QJ00087332,,,UXA40T2,個,1,JPY,0,,2012-01-01,2017-12-31,,72,0,1,122507,200,,,8000026706,,2012-01-01
QJ00088189,,,UXA40T2,個,1,JPY,0,,2012-01-01,2017-12-31,,72,0,1,89638,2900,,,8000027657,,2012-01-01
QJ00291123,,,UX14383,個,1,JPY,0,,2012-11-01,2017-10-31,,60,0,1,307578,2000,,,8000093820,,2012-11-01
QJ00291275,,,UX14403,個,1,JPY,0,,2012-10-21,2017-10-20,,60,0,1,304849,1900,,,8000107664,,2012-10-21
QJ00293407,,,UX14383,個,1,JPY,0,,2012-11-11,2017-11-10,,60,0,1,344040,200,,,8000106881,,2012-11-11
QJ00300055,,,UX14393,個,1,JPY,0,,2012-12-25,2017-11-24,,59,0,1,309002,600,,,8000111437,,2012-12-25
QJ00301461,,,UX14393,個,1,JPY,0,,2012-11-25,2017-10-24,,59,0,1,301461,600,,,8000111882,,2012-11-25
QJ00301771,,,UX14383,個,1,JPY,0,,2012-11-01,2017-10-31,,60,0,1,308701,1800,,,8000111887,,2012-11-01
QJ00302220,,,UXA40T2,個,1,JPY,0,,2012-11-01,2017-10-31,,60,0,1,302220,2700,,,8000069127,,2012-11-01
QJ00302410,,,UX14383,個,1,JPY,0,,2012-11-01,2017-10-31,,60,0,1,308324,1600,,,8000112542,,2012-11-01
QJ00302476,,,UX14393,個,1,JPY,0,,2012-11-01,2017-10-31,,60,0,1,308330,2100,,,8000112549,,2012-11-01
QJ00302542,,,UX14403,個,1,JPY,0,,2012-11-01,2017-10-31,,60,0,1,305815,200,,,8000112306,,2012-11-01
QJ00302957,,,UX14403,個,1,JPY,0,,2012-10-01,2017-10-31,,61,0,1,310394,3000,,,8000111047,,2012-10-02
QJ00303129,,,UX14393,個,1,JPY,0,,2012-11-01,2017-10-31,,60,0,1,303129,2300,,,8000112657,,2012-11-01
QJ00303710,,,UX14383,個,1,JPY,0,,2012-11-01,2017-10-31,,60,0,1,308747,1500,,,8000112797,,2012-11-01
QJ00304775,,,UX14383,個,1,JPY,0,,2012-11-01,2017-10-31,,60,0,1,304775,1300,,,8000113374,,2012-11-01
QJ00305331,,,UX14383,個,1,JPY,0,,2012-10-21,2017-10-20,,60,0,1,307307,2000,,,8000113560,,2012-10-21
