0_rateplanid,1_name,2_ProductCode__c,3_ParentCode__c,4_PlanQuantity__c,5_BillingFlag__c,6_RequiredLicense__c
2c92c0f85cee08f3015d3701ebc37a7d,お任せプラン（Aプラン）,XXXXXX,,,FALSE,FALSE
2c92c0f85cee08f3015d3957705b5ede,ウイルス対策,UXA40T7,XXXXXX,,FALSE,FALSE
2c92c0f85cee08f3015d396d6a733d9f,胸部Bone Suppression,BS,XXXXXX,,TRUE,TRUE
2c92c0f85cee0940015d396a1f242fea,連携ボックスサービス,MGBOX,XXXXXX,,FALSE,FALSE
2c92c0f85d3e6222015d3fd0fc250b42,超過課金,OVER,XXXXXX,,TRUE,TRUE
2c92c0f85d4e954f015d5889ab234733,UX144G5 部品保証　通常,PARTS,UX144G5,1,FALSE,FALSE
2c92c0f85d4e954f015d589f7a2e7655,UX144G5 プリントサービス,PRINT01,UX144G5,1,FALSE,TRUE
2c92c0f85d4e954f015d58acd7e00292,UX144G5 セキュアインターネット,UXA40T8,UX144G5,1,FALSE,FALSE
2c92c0f85d4e954f015d58c36cad11e8,UX14AAB 連携BOX　Lite,A578,UX14AAB,1,FALSE,TRUE
2c92c0f85d4e9554015d59334ab16c2c,UX14AAB 医療行政ニュース,LGCY04,UX14AAB,1,FALSE,TRUE
2c92c0f85d4e9554015d5934a7c86f2e,UX14AAB スマートアップデートサービス,RVUP-UNITEA,UX14AAB,1,FALSE,FALSE
2c92c0f85d4e9554015d59394e067773,UX14AAB セキュアインターネット,UXA40T8,UX14AAB,1,FALSE,FALSE
2c92c0f85d4e95ae015d5575788e4ee5,UX144G5 連携BOX　Lite,A578,UX144G5,1,FALSE,TRUE
2c92c0f85d4e95ae015d588d074210e2,UX144G5 ウェブサイト開設サポート,LGCY03,UX144G5,1,FALSE,TRUE
2c92c0f85d4e95ae015d593216d40797,UX14AAB ウェブサイト開設サポート,LGCY03,UX14AAB,1,FALSE,TRUE
2c92c0f85d5964da015d59740ec00165,UX141A2 オンサイトサービス　SIGMA/UNITEA料金プラン,UX14742,UX141A2,1,FALSE,FALSE
2c92c0f85d5964da015d597a04351cb4,UX141A2 CR骨密度測定サービス,UX14163,UX141A2,1,TRUE,TRUE
2c92c0f85d5964da015d597b54b92592,UX141A2 UNITEA胸部骨経時差分処理（TS）,UX14AAK,UX141A2,1,TRUE,TRUE
2c92c0f85d5964da015d597efe7137f1,UX141A2 セキュアインターネット,UXA40T8,UX141A2,1,FALSE,FALSE
2c92c0f85d5964da015d5de5f171323b,UX14BCR 連携BOX　Lite　パック20,A578,UX14BCR,20,FALSE,TRUE
2c92c0f85d5964da015d5de81ff34915,UX142J2 連携BOX　Lite,A578,UX142J2,1,FALSE,TRUE
2c92c0f85d5964da015d5de9a71f5691,UX140T3 連携BOX　Lite,A578,UX140T3,1,FALSE,TRUE
2c92c0f85d5964da015d5dea039d5798,UX149R1 連携BOX　Lite,A578,UX149R1,1,FALSE,TRUE
2c92c0f85d5964da015d5dee5332680c,UXA40T4 連携BOX　Lite,A578,UXA40T4,1,FALSE,TRUE
2c92c0f85d5964da015d5df760a80f12,UX144F7 連携BOX　Lite,A578,UX144F7,1,FALSE,TRUE
2c92c0f85d5964da015d5e02e23e34ef,UX140H5 連携BOX　Lite,A578,UX140H5,1,FALSE,TRUE
2c92c0f85d5964da015d5f7fb53d0f6b,UX14475 連携BOX　Lite　パック10,A578,UX14475,10,FALSE,TRUE
2c92c0f85d5964da015d5f8064d2109b,UX14495 連携BOX　Lite　パック20,A578,UX14495,20,FALSE,TRUE
2c92c0f85d5964da015d5f80907110de,UX14485 連携BOX　Lite　パック10,A578,UX14485,10,FALSE,TRUE
2c92c0f85d5964da015d5fbb16cb00d9,UX14505 連携BOX　検査予約サービス,A5U2,UX14505,1,FALSE,FALSE
2c92c0f85d5964da015d5fd35c465421,UXA40T3 ウェブサイト開設サポート,LGCY03,UXA40T3,1,FALSE,TRUE
2c92c0f85d5964da015d5fd3c31a55cc,UXA40T2 ウェブサイト開設サポート,LGCY03,UXA40T2,1,FALSE,TRUE
2c92c0f85d5964da015d5fd42c135758,UX14403 ウェブサイト開設サポート,LGCY03,UX14403,1,FALSE,TRUE
2c92c0f85d5964da015d5fd6af665e0f,UX14BBJ ウェブサイト開設サポート,LGCY03,UX14BBJ,1,FALSE,TRUE
2c92c0f85d5964da015d5fdc1fda7811,UX142B2 ウェブサイト開設サポート,LGCY03,UX142B2,1,FALSE,TRUE
2c92c0f85d5964da015d5fde6fe1021e,UX142A2 プリントサービス,PRINT01,UX142A2,1,FALSE,TRUE
2c92c0f85d5964da015d5fe1715f127f,UXA40T4 プリントサービス,PRINT01,UXA40T4,1,FALSE,TRUE
2c92c0f85d5964da015d5fe23c371753,UXA40T2 プリントサービス,PRINT01,UXA40T2,1,FALSE,TRUE
2c92c0f85d5964da015d5fe348bf1bea,UX141F5 プリントサービス,PRINT01,UX141F5,1,FALSE,TRUE
2c92c0f85d5964da015d5fe3eec91f3d,UX141C3 プリントサービス,PRINT01,UX141C3,1,FALSE,TRUE
2c92c0f85d5964da015d5fe44ae0204c,UX14BBK プリントサービス,PRINT01,UX14BBK,1,FALSE,TRUE
2c92c0f85d5964da015d633caf36761d,UX14BBP プリントサービス,PRINT01,UX14BBP,1,FALSE,TRUE
2c92c0f85d5964da015d634008af7997,UX14BBM プリントサービス,PRINT01,UX14BBM,1,FALSE,TRUE
2c92c0f85d5964da015d634068d57a0a,UX140U3 プリントサービス,PRINT01,UX140U3,1,FALSE,TRUE
2c92c0f85d5964da015d6340e4947b16,UX141G5 プリントサービス,PRINT01,UX141G5,1,FALSE,TRUE
2c92c0f85d5964da015d634306027ead,UX142K3 プリントサービス,PRINT01,UX142K3,1,FALSE,TRUE
2c92c0f85d5964da015d634375e97f53,UX140G5 プリントサービス,PRINT01,UX140G5,1,FALSE,TRUE
2c92c0f85d5964da015d6352907b114c,UX141X3 プリントサービス,PRINT01,UX141X3,1,FALSE,TRUE
2c92c0f85d5964da015d63537f3913fa,UX14343 プリントサービス,PRINT01,UX14343,1,FALSE,TRUE
2c92c0f85d5964da015d63be0da843ed,UX141G3 プリントサービス,PRINT01,UX141G3,1,FALSE,TRUE
2c92c0f85d5964da015d63bef7484559,UX14363 プリントサービス,PRINT01,UX14363,1,FALSE,TRUE
2c92c0f85d5964da015d63c48db84e5c,UX149R1 医療行政ニュース,LGCY04,UX149R1,1,FALSE,TRUE
2c92c0f85d5964da015d63c52c444fe2,infomity EXﾍﾞｰｽﾊﾟｯｸ,UX142E2,,1,FALSE,FALSE
2c92c0f85d5964da015d63c606b0513c,UX142F2 医療行政ニュース,LGCY04,UX142F2,1,FALSE,TRUE
2c92c0f85d5964da015d63cf3a6b5fbd,AeroDRﾍﾞｰｽﾊﾟｯｸ(2年目以降),UX142H3,,1,FALSE,FALSE
