試算番号（明細）,バージョン1,PLANID,品目コード,基本数量単位,数量,販売伝票通貨,標準単価,□S販売単価,契約開始日,契約終了日,解約日,契約期間数,更新期間数,HARIS伝票区分,受注伝票番号,受注明細番号,□前受注伝票番号,□前受注明細番号
QJ01209590,,,UX140H5,個,1,JPY,0,,2016/3/1,2021/2/28,,60,0,1,1253846,300,,,
QJ01209856,,,UX140X5,個,1,JPY,0,,2016/3/1,2021/2/28,,60,0,1,1209856,100,,,
QJ01210363,,,UX144E7,個,1,JPY,0,,2016/3/1,2021/2/28,,60,0,1,1210363,2100,,,
QJ01210412,,,UX140X5,個,1,JPY,0,,2016/3/1,2021/2/28,,60,0,1,1217346,3000,,,
QJ01210563,,,UX14413,個,1,JPY,0,,2017/4/1,2021/3/31,,48,0,1,1210563,1000,,,
QJ01210711,,,UX140X5,個,1,JPY,0,,2016/3/1,2021/2/28,,60,0,1,1219352,2000,,,
QJ01211753,,,UX140H5,個,1,JPY,0,,2016/2/13,2021/2/28,,61,0,1,1211753,100,,,
QJ01211753,,,UX141G3,個,1,JPY,0,,2016/2/13,2021/2/28,,61,0,1,1211753,600,,,
QJ01212803,,,UX141F5,個,1,JPY,0,,2016/3/1,2021/2/28,,60,0,1,1212803,200,,,
QJ01213670,,,UX140X5,個,1,JPY,0,,2016/3/1,2021/2/28,,60,0,1,1213670,200,,,
QJ01213797,,,UX140X5,個,1,JPY,0,,2016/3/1,2021/2/28,,60,0,1,1214605,100,,,
QJ01214358,,,UX140X5,個,1,JPY,0,,2016/2/1,2021/1/31,,60,0,1,1214358,200,,,
QJ01214509,,,UX141F5,個,1,JPY,0,,2016/3/1,2021/2/28,,60,0,1,1226018,2400,,,
QJ01215313,,,UX140X5,個,1,JPY,0,,2016/2/22,2021/2/21,,60,0,1,1215313,200,,,
QJ01215386,,,UX140X5,個,1,JPY,0,,2016/4/1,2021/3/31,,60,0,1,1231449,2700,,,
QJ01216626,,,UX140X5,個,1,JPY,0,,2016/2/1,2021/1/31,,60,0,1,1217923,100,,,
QJ01216803,,,UX141F5,個,1,JPY,0,,2016/3/1,2021/2/28,,60,0,1,1216803,200,,,
QJ01216912,,,UX144E7,個,1,JPY,0,,2016/3/1,2021/2/28,,60,0,1,1217907,2300,,,
QJ01216977,,,UX140X5,個,1,JPY,0,,2016/4/1,2021/3/31,,60,0,1,1237403,3600,,,
QJ01216994,,,UX140X5,個,1,JPY,0,,2016/3/1,2020/3/31,,49,0,1,1216994,100,,,
QJ01217028,,,UX140X5,個,1,JPY,0,,2016/3/1,2020/4/30,,50,0,1,1217028,100,,,
QJ01218311,,,UX140X5,個,1,JPY,0,,2016/3/15,2021/3/14,,60,0,1,1231047,2500,,,
QJ01218964,,,UX144E7,個,1,JPY,0,,2016/3/1,2021/2/28,,60,0,1,1219075,100,,,
QJ01218966,,,UX142K3,個,1,JPY,0,,2016/4/1,2021/3/31,,60,0,1,1219078,100,,,
QJ01219014,,,UX14413,個,1,JPY,0,,2016/3/1,2020/2/29,,48,0,1,1219014,700,,,
QJ01219617,,,UX140X5,個,1,JPY,0,,2016/3/13,2021/3/12,,60,0,1,1231648,2500,,,
QJ01220093,,,UX140X5,個,1,JPY,0,,2016/4/1,2021/3/31,,60,0,1,1220418,100,,,
QJ01220102,,,UX142H2,個,1,JPY,0,,2016/3/1,2020/2/29,,48,0,1,1220102,500,,,
QJ01221144,,,UX14782,個,1,JPY,0,,2016/4/1,2021/3/31,,60,0,1,1237142,1400,,,
QJ01221149,,,UX140X5,個,1,JPY,0,,2016/3/3,2021/3/31,,61,0,1,1221149,100,,,
