試算番号（明細）,バージョン1,PLANID,品目コード,基本数量単位,数量,販売伝票通貨,標準単価,□S販売単価,契約開始日,契約終了日,解約日,契約期間数,更新期間数,HARIS伝票区分,受注伝票番号,受注明細番号,□前受注伝票番号,□前受注明細番号
QJ01277243,,,UX142F2,個,1,JPY,0,,2018/6/3,2019/6/2,,12,0,1,1287825,3000,,
QJ00435809,,,UX14383,個,1,JPY,0,,2013/4/3,2018/4/2,,60,0,1,445784,1200,,
QJ00733092,,,UX14383,個,1,JPY,0,,2014/4/1,2019/3/31,,60,0,1,733092,100,,
QJ01495527,,,UX149R1,個,1,JPY,0,,2017/3/30,2018/3/29,,12,0,1,1499128,2500,,
QJ01543944,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1543944,400,,
QJ01429706,,,UX142F2,個,1,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1429706,500,,
QJ01441914,,,UX142F2,個,1,JPY,0,,2017/2/1,2018/1/31,,12,0,1,1441914,500,,
QJ01466875,,,UX149R1,個,1,JPY,0,,2017/3/2,2018/3/1,,12,0,1,1478739,700,,
QJ01469942,,,UX142F2,個,1,JPY,0,,2017/3/1,2018/2/28,,12,0,1,1469942,400,,
QJ01480110,,,UX142F2,個,1,JPY,0,,2017/3/1,2018/2/28,,12,0,1,1480110,400,,
