success,id,accountId,accountNumber,accountName,invoiceOwnerAccountId,invoiceOwnerAccountNumber,invoiceOwnerAccountName,subscriptionNumber,termType,invoiceSeparately,contractEffectiveDate,serviceActivationDate,customerAcceptanceDate,subscriptionStartDate,termStartDate,termEndDate,initialTerm,initialTermPeriodType,currentTerm,currentTermPeriodType,autoRenew,renewalSetting,renewalTerm,renewalTermPeriodType,contractedMrr,totalContractedValue,notes,status,QuoteNumber__QT,QuoteBusinessType__QT,ParentSubscriptionNumber__c,OpportunityName__QT,OrderNumber__c,OpportunityCloseDate__QT,AutoRenewVersion__c,ServiceStartDate__c,CpqBundleJsonId__QT,ProcessStatus__c,QuoteType__QT,OrderDetailsNumber__c,NeTTSSyncFlag__c,record_Id,id,productId,productName,productSku,productRatePlanId,ratePlanName,ParentCode__c,BillingFlag__c,NeTTSProduct__c,ProductCode__c,NeTTSUnit__c,ratePlans_Id,record_Id,id,originalChargeId,productRatePlanChargeId,number,name,type,model,uom,version,pricingSummary,priceChangeOption,priceIncreasePercentage,currency,price,tiers,includedUnits,overagePrice,discountPercentage,discountAmount,applyDiscountTo,discountLevel,discountClass,billingDay,listPriceBase,billingPeriod,specificBillingPeriod,billingTiming,billingPeriodAlignment,quantity,smoothingModel,numberOfPeriods,overageCalculationOption,overageUnusedUnitsCreditOption,unusedUnitsCreditRates,usageRecordRatingOption,segment,effectiveStartDate,effectiveEndDate,processedThroughDate,chargedThroughDate,done,triggerDate,triggerEvent,endDateCondition,upToPeriodsType,upToPeriods,specificEndDate,mrr,dmrc,tcv,dtcv,description,UserPrice__c,ratePlans_Id,tier,startingUnit,endingUnit,price,priceFormat,ratePlanCharges_Id,tier,startingUnit,endingUnit,price,priceFormat
TRUE,2c92c0f85d7d53d3015d83a10bb6340b,2c92c0f85d7d5425015d8370cb7c5d0b,A00000367,医療法人社団サンライブ　杉元内科医院,,A00000367,医療法人社団サンライブ　杉元内科医院,A-S00002691,TERMED,FALSE,2017-01-01,,,2017-01-01,2017-01-01,2018-01-01,12,Month,12,Month,TRUE,RENEW_WITH_SPECIFIC_TERM,12,Month,0,0,,Pending Activation,JA01438838,,,,1438838,,0,,,1,,500,0,0,2c92c0f85d7d53d3015d83a10bca340f,2c92c0f95d4e8c14015d588b69494e75,品目【共通】,SKU-00000017,2c92c0f85d5964da015d63c606b0513c,UX142F2 医療行政ニュース,UX142F2,FALSE,0,LGCY04,0,0,0,2c92c0f85d7d53d3015d83a10bd23410,2c92c0f85d7d53d3015d83a10bd23410,2c92c0f85d5964da015d63c606bf513e,C-00002698,医療行政ニュース,Recurring,FlatFee,,1,JPY0,NoChange,,JPY,0,,,,,,,,,DefaultFromCustomer,Per_Billing_Period,Month,,IN_ARREARS,AlignToCharge,1,,,,,,,1,,,,,FALSE,,CustomerAcceptance,Subscription_End,,,,,,,,親に内包,,0,,,,,,,,,,,
TRUE,2c92c0f95d7d612e015d83a113bc3d97,2c92c0f85d7d5425015d8370cb7c5d0b,A00000367,医療法人社団サンライブ　杉元内科医院,,A00000367,医療法人社団サンライブ　杉元内科医院,A-S00002692,TERMED,FALSE,2017-01-01,2017-08-01,,2017-01-01,2017-01-01,2018-01-01,12,Month,12,Month,TRUE,RENEW_WITH_SPECIFIC_TERM,12,Month,0,0,,Pending Activation,JA01438838,,,,1438838,,0,,,1,,500,0,0,2c92c0f95d7d612e015d83a113da3d9b,2c92c0f95d4e8c14015d549437fd70f0,品目【課金】,SKU-00000008,2c92c0f85d5964da015d64a191732ea5,UX142F2 UNITEA胸部骨減弱処理（BS）,UX142F2,TRUE,0,UX14AAL,0,0,0,2c92c0f95d7d612e015d83a113e33d9c,2c92c0f95d7d612e015d83a113e33d9c,2c92c0f85d5964da015d64a1917e2ea7,C-00002699,UNITEA胸部骨減弱処理（BS）,Usage,PerUnit,License,1,JPY5000/License,NoChange,,JPY,5000,,,,,,,,,DefaultFromCustomer,,Month,,,AlignToCharge,,,,,,,EndOfBillingPeriod,1,,,,,FALSE,,CustomerAcceptance,Subscription_End,,,,,,,,従量課金,,0,,,,,,,,,,,
TRUE,2c92c0f95d7d614a015d83a11f720777,2c92c0f85d7d5425015d8370cb7c5d0b,A00000367,医療法人社団サンライブ　杉元内科医院,,A00000367,医療法人社団サンライブ　杉元内科医院,A-S00002693,TERMED,FALSE,2017-01-01,2017-08-01,,2017-01-01,2017-01-01,2018-01-01,12,Month,12,Month,TRUE,RENEW_WITH_SPECIFIC_TERM,12,Month,0,0,,Pending Activation,JA01438838,,,,1438838,,0,,,1,,500,0,0,2c92c0f95d7d614a015d83a11f88077b,2c92c0f95d4e8c14015d549437fd70f0,品目【課金】,SKU-00000008,2c92c0f85d59652c015d64b5c1cc5fde,UX142F2 UNITEA胸部骨経時差分処理（TS）,UX142F2,TRUE,0,UX14AAK,0,0,0,2c92c0f95d7d614a015d83a11f91077c,2c92c0f95d7d614a015d83a11f91077c,2c92c0f85d59652c015d64b5c1d95fe0,C-00002700,UNITEA胸部骨経時差分処理（TS）,Usage,PerUnit,License,1,JPY4000/License,NoChange,,JPY,4000,,,,,,,,,DefaultFromCustomer,,Month,,,AlignToCharge,,,,,,,EndOfBillingPeriod,1,,,,,FALSE,,CustomerAcceptance,Subscription_End,,,,,,,,従量課金,,0,,,,,,,,,,,
TRUE,2c92c0f85d7d5425015d83a1274462f4,2c92c0f85d7d5425015d8370cb7c5d0b,A00000367,医療法人社団サンライブ　杉元内科医院,,A00000367,医療法人社団サンライブ　杉元内科医院,A-S00002694,TERMED,FALSE,2017-01-01,,,2017-01-01,2017-01-01,2018-01-01,12,Month,12,Month,TRUE,RENEW_WITH_SPECIFIC_TERM,12,Month,0,0,,Pending Activation,JA01438838,,,,1438838,,0,,,1,,500,0,0,2c92c0f85d7d5425015d83a1275862f8,2c92c0f95d4e8c14015d549437fd70f0,品目【課金】,SKU-00000008,2c92c0f85d59652c015d64d1686103b7,UX142F2 EX胸部骨減弱処理（BS）,UX142F2,TRUE,0,UX14AAN,0,0,0,2c92c0f85d7d5425015d83a1276162f9,2c92c0f85d7d5425015d83a1276162f9,2c92c0f85d59652c015d64d1686e03b9,C-00002701,EX胸部骨減弱処理（BS）,Usage,PerUnit,License,1,JPY12000/License,NoChange,,JPY,12000,,,,,,,,,DefaultFromCustomer,,Month,,,AlignToCharge,,,,,,,EndOfBillingPeriod,1,,,,,FALSE,,CustomerAcceptance,Subscription_End,,,,,,,,従量課金,,0,,,,,,,,,,,
TRUE,2c92c0f95d7d614d015d83a134223063,2c92c0f85d7d5425015d8370cb7c5d0b,A00000367,医療法人社団サンライブ　杉元内科医院,,A00000367,医療法人社団サンライブ　杉元内科医院,A-S00002695,TERMED,FALSE,2017-01-01,,,2017-01-01,2017-01-01,2018-01-01,12,Month,12,Month,TRUE,RENEW_WITH_SPECIFIC_TERM,12,Month,0,0,,Pending Activation,JA01438838,,,,1438838,,0,,,1,,500,0,0,2c92c0f95d7d614d015d83a134393067,2c92c0f95d4e8c1c015d5573d9cf6e23,品目【連携】,SKU-00000013,2c92c0f95d59763b015d5deaecd00280,UX142F2 連携BOX　Lite,UX142F2,FALSE,0,A578,0,0,0,2c92c0f95d7d614d015d83a134413068,2c92c0f95d7d614d015d83a134413068,2c92c0f95d59763b015d5deaecd90282,C-00002702,連携BOX　Lite,Recurring,FlatFee,,1,JPY0,NoChange,,JPY,0,,,,,,,,,DefaultFromCustomer,Per_Billing_Period,Month,,IN_ARREARS,AlignToCharge,1,,,,,,,1,,,,,FALSE,,CustomerAcceptance,Subscription_End,,,,,,,,親に内包,,0,,,,,,,,,,,
TRUE,2c92c0f85d7d5425015d83a14e876360,2c92c0f85d7d5425015d8370cb7c5d0b,A00000367,医療法人社団サンライブ　杉元内科医院,,A00000367,医療法人社団サンライブ　杉元内科医院,A-S00002696,TERMED,FALSE,2017-01-01,,,2017-01-01,2017-01-01,2018-01-01,12,Month,12,Month,TRUE,RENEW_WITH_SPECIFIC_TERM,12,Month,0,0,,Pending Activation,JA01438838,,,,1438838,,0,,,1,,500,0,0,2c92c0f85d7d5425015d83a14e9b6364,2c92c0f95d4e8c14015d588b69494e75,品目【共通】,SKU-00000017,2c92c0f95d59763e015d5fd09ea85b56,UX142F2 ウェブサイト開設サポート,UX142F2,FALSE,0,LGCY03,0,0,0,2c92c0f85d7d5425015d83a14ea46365,2c92c0f85d7d5425015d83a14ea46365,2c92c0f95d59763e015d5fd09eb25b5a,C-00002703,ウェブサイト開設サポート,Recurring,FlatFee,,1,JPY0,NoChange,,JPY,0,,,,,,,,,DefaultFromCustomer,Per_Billing_Period,Month,,IN_ARREARS,AlignToCharge,1,,,,,,,1,,,,,FALSE,,CustomerAcceptance,Subscription_End,,,,,,,,親に内包,,0,,,,,,,,,,,
TRUE,2c92c0f85d7d53d3015d83a1558f3444,2c92c0f85d7d5425015d8370cb7c5d0b,A00000367,医療法人社団サンライブ　杉元内科医院,,A00000367,医療法人社団サンライブ　杉元内科医院,A-S00002697,TERMED,FALSE,2017-01-01,2017-01-01,2017-01-01,2017-01-01,2017-01-01,2018-01-01,12,Month,12,Month,TRUE,RENEW_WITH_SPECIFIC_TERM,12,Month,0,0,,Active,JA01438838,,,,1438838,,0,,,1,,500,1,0,2c92c0f85d7d53d3015d83a155a53448,2c92c0f95d4e8c14015d58a9b4037dfc,品目【セキュア】,SKU-00000018,2c92c0f95d59763e015d645326a15d60,UX142F2 ウイルス対策サービス,UX142F2,FALSE,0,UXA40T7,0,0,0,2c92c0f85d7d53d3015d83a155ae3449,2c92c0f85d7d53d3015d83a155ae3449,2c92c0f95d59763e015d645326ac5d62,C-00002704,ウイルス対策サービス,Recurring,FlatFee,,1,JPY0,NoChange,,JPY,0,,,,,,,,,DefaultFromCustomer,Per_Billing_Period,Month,,IN_ARREARS,AlignToCharge,1,,,,,,,1,2017-01-01,2018-01-01,,,FALSE,,CustomerAcceptance,Subscription_End,,,,0,0,0,0,親に内包,,0,,,,,,,,,,,
TRUE,2c92c0f85d7d53d6015d83a15e1d64bf,2c92c0f85d7d5425015d8370cb7c5d0b,A00000367,医療法人社団サンライブ　杉元内科医院,,A00000367,医療法人社団サンライブ　杉元内科医院,A-S00002698,TERMED,FALSE,2017-01-01,2017-01-01,2017-01-01,2017-01-01,2017-01-01,2018-01-01,12,Month,12,Month,TRUE,RENEW_WITH_SPECIFIC_TERM,12,Month,0,0,,Pending Activation,JA01438838,,,,1438838,,0,,,1,,500,0,0,2c92c0f85d7d53d6015d83a15e3064c3,2c92c0f95d4e8c14015d549437fd70f0,品目【課金】,SKU-00000008,2c92c0f95d59763e015d6482db803c5a,UX142F2 CR骨密度測定サービス,UX142F2,TRUE,0,UX14163,0,0,0,2c92c0f85d7d53d6015d83a15e3a64c4,2c92c0f85d7d53d6015d83a15e3a64c4,2c92c0f95d59763e015d6482db8e3c5c,C-00002705,CR骨密度測定サービス,Usage,PerUnit,回,1,JPY780/回,NoChange,,JPY,780,,,,,,,,,DefaultFromCustomer,,Month,,,AlignToCharge,,,,,,,EndOfBillingPeriod,1,,,,,FALSE,,CustomerAcceptance,Subscription_End,,,,,,,,従量課金,,0,,,,,,,,,,,
TRUE,2c92c0f95d7d612e015d83a164f73e01,2c92c0f85d7d5425015d8370cb7c5d0b,A00000367,医療法人社団サンライブ　杉元内科医院,,A00000367,医療法人社団サンライブ　杉元内科医院,A-S00002699,TERMED,FALSE,2017-01-01,2017-01-01,2017-01-01,2017-01-01,2017-01-01,2018-01-01,12,Month,12,Month,TRUE,RENEW_WITH_SPECIFIC_TERM,12,Month,0,0,,Active,JA01438838,,,,1438838,,0,,,1,,500,1,0,2c92c0f95d7d612e015d83a1650d3e05,2c92c0f85d5964dc015d63c2beae47d1,ベース,SKU-00000027,2c92c0f95d59764d015d63c9d9f73d84, infomityﾍﾞｰｽﾊﾟｯｸ(2年目以降),,FALSE,0,UX142F2,0,0,0,2c92c0f95d7d612e015d83a165163e06,2c92c0f95d7d612e015d83a165163e06,2c92c0f95d59764d015d63c9da023d86,C-00002706, infomityﾍﾞｰｽﾊﾟｯｸ(2年目以降),Recurring,FlatFee,,1,JPY0,NoChange,,JPY,0,,,,,,,,,DefaultFromCustomer,Per_Billing_Period,Annual,,IN_ARREARS,AlignToCharge,1,,,,,,,1,2017-01-01,2018-01-01,,,FALSE,,CustomerAcceptance,Subscription_End,,,,0,0,0,0,,,0,,,,,,,,,,,
TRUE,2c92c0f95d7d612e015d83a173333e0a,2c92c0f85d7d5425015d8370cb7c5d0b,A00000367,医療法人社団サンライブ　杉元内科医院,,A00000367,医療法人社団サンライブ　杉元内科医院,A-S00002700,TERMED,FALSE,2017-01-01,,,2017-01-01,2017-01-01,2018-01-01,12,Month,12,Month,TRUE,RENEW_WITH_SPECIFIC_TERM,12,Month,0,0,,Pending Activation,JA01438838,,,,1438838,,0,,,1,,500,0,0,2c92c0f95d7d612e015d83a1734a3e12,2c92c0f95d4e8c14015d588b69494e75,品目【共通】,SKU-00000017,2c92c0f95d59764d015d6417a9ad4aab,UX142F2 遠隔読影支援サービス,UX142F2,FALSE,0,READINGIMAGE,0,0,0,2c92c0f95d7d612e015d83a173543e13,2c92c0f95d7d612e015d83a173543e13,2c92c0f95d59764d015d6417a9b94aad,C-00002707,遠隔読影支援サービス,Recurring,FlatFee,,1,JPY0,NoChange,,JPY,0,,,,,,,,,DefaultFromCustomer,Per_Billing_Period,Month,,IN_ARREARS,AlignToCharge,1,,,,,,,1,,,,,FALSE,,CustomerAcceptance,Subscription_End,,,,,,,,別途課金,,0,,,,,,,,,,,
