試算番号（明細）,バージョン1,PLANID,品目コード,基本数量単位,数量,販売伝票通貨,標準単価,□S販売単価,契約開始日,契約終了日,解約日,契約期間数,更新期間数,HARIS伝票区分,受注伝票番号,受注明細番号,□前受注伝票番号,□前受注明細番号
QJ01555970,,,UX142F2,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1555970,300,,
QJ01555972,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1555972,600,,
QJ01555974,,,UX149R1,個,1,JPY,0,,2017/7/8,2018/7/7,,12,0,1,1560854,3900,,
QJ01556008,,,UX142F2,個,1,JPY,0,,2017/5/1,2018/4/30,,12,0,1,1556008,700,,
QJ01556008,,,UX142F2,個,1,JPY,0,,2018/5/1,2019/4/30,,12,0,1,1556008,800,,
QJ01556009,,,UX142F2,個,1,JPY,0,,2017/8/1,2018/7/31,,12,0,1,1556009,900,,
QJ01556012,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1556012,500,,
QJ01556117,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1556117,500,,
QJ01556146,,,UX149R1,個,1,JPY,0,,2017/8/1,2018/7/31,,12,0,1,1556146,1400,,
QJ01556164,,,UX149R1,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1556164,700,,
QJ01556180,,,UX149R1,個,1,JPY,0,,2017/8/1,2018/7/31,,12,0,1,1560941,1900,,
QJ01556280,,,UX142A2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1556280,100,,
QJ01556281,,,UX142A2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1556281,100,,
QJ01556381,,,UX149R1,個,1,JPY,0,,2017/6/26,2018/6/25,,12,0,1,1557416,1800,,
QJ01556465,,,UX142F2,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1556465,600,,
QJ01556470,,,UX149R1,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1556470,1900,,
QJ01556480,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1556480,400,,
QJ01556481,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1556481,400,,
QJ01556482,,,UX142F2,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1556482,400,,
QJ01556687,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1556687,800,,
QJ01556701,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1556701,200,,
QJ01556702,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1556702,500,,
QJ01556703,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1556703,400,,
QJ01556706,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1556706,400,,
QJ01556707,,,UX142F2,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1556707,700,,
QJ01556730,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1556730,400,,
QJ01556731,,,UX142A2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1556731,100,,
QJ01556792,,,UX149R1,個,1,JPY,0,,2017/6/22,2018/6/21,,12,0,1,1558674,1300,,
QJ01556792,,,UX142G2,個,1,JPY,0,,2017/6/22,2018/6/21,,12,0,1,1558674,1400,,
QJ01556883,,,UX142F2,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1556883,400,,
QJ01556945,,,UX142F2,個,1,JPY,0,,2017/10/1,2018/9/30,,12,0,1,1556945,100,,
QJ01556947,,,UX149R1,個,1,JPY,0,,2017/8/1,2018/7/31,,12,0,1,1556947,1100,,
QJ01557040,,,UX149R1,個,1,JPY,0,,2017/7/7,2018/7/6,,12,0,1,1565872,1400,,
QJ01557044,,,UX149R1,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1561818,1100,,
QJ01557314,,,UX149R1,個,1,JPY,0,,2017/7/6,2018/7/5,,12,0,1,1557314,1700,,
QJ01557315,,,UX14383,個,1,JPY,0,,2017/6/1,2019/5/31,,24,0,1,1557315,100,,
