試算番号（明細）,バージョン1,PLANID,品目コード,基本数量単位,数量,販売伝票通貨,標準単価,□S販売単価,契約開始日,契約終了日,解約日,契約期間数,更新期間数,HARIS伝票区分,受注伝票番号,受注明細番号,□前受注伝票番号,□前受注明細番号
QJ01405929,,,UX14393,個,1,JPY,0,,2016/11/25,2017/11/24,,12,0,1,1405929,100,,
QJ01405932,,,UX149R1,個,1,JPY,0,,2016/12/15,2017/12/14,,12,0,1,1427707,2200,,
QJ01405933,,,UX142F2,個,1,JPY,0,,2016/11/1,2017/10/31,,12,0,1,1405933,700,,
QJ01405934,,,UX142F2,個,1,JPY,0,,2016/11/1,2017/10/31,,12,0,1,1405934,1000,,
QJ01405982,,,UX149R1,個,1,JPY,0,,2016/11/29,2017/11/28,,12,0,1,1414560,2300,,
QJ01406011,,,UX142F2,個,1,JPY,0,,2016/11/1,2017/10/31,,12,0,1,1406011,400,,
QJ01406014,,,UX149R1,個,1,JPY,0,,2016/12/22,2017/12/21,,12,0,1,1433076,300,,
QJ01406018,,,UX149R1,個,1,JPY,0,,2016/11/30,2017/11/29,,12,0,1,1416100,2600,,
QJ01406030,,,UX142F2,個,1,JPY,0,,2016/11/1,2017/10/31,,12,0,1,1406030,100,,
QJ01406068,,,UX142F2,個,1,JPY,0,,2016/12/10,2017/11/30,,12,0,1,1406068,400,,
QJ01406221,,,UX149R1,個,1,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1418333,1800,,
QJ01406546,,,UX149R1,個,1,JPY,0,,2016/11/16,2017/11/15,,12,0,1,1415131,600,,
QJ01406551,,,UX142F2,個,1,JPY,0,,2016/11/1,2017/10/31,,12,0,1,1406551,500,,
QJ01406552,,,UX142F2,個,1,JPY,0,,2016/11/1,2017/10/31,,12,0,1,1406552,300,,
QJ01406553,,,UX142F2,個,1,JPY,0,,2016/11/1,2017/10/31,,12,0,1,1406553,400,,
QJ01406554,,,UX142F2,個,1,JPY,0,,2016/11/1,2017/10/31,,12,0,1,1406554,300,,
QJ01406555,,,UX142F2,個,1,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1406555,500,,
QJ01406623,,,UX149R1,個,1,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1416358,3700,,
QJ01406624,,,UX149R1,個,1,JPY,0,,2016/11/12,2017/11/11,,12,0,1,1412180,1800,,
QJ01406701,,,UX149R1,個,1,JPY,0,,2016/11/28,2017/11/27,,12,0,1,1413479,2600,,
QJ01406759,,,UX149R1,個,1,JPY,0,,2016/11/29,2017/11/28,,12,0,1,1414267,2000,,
QJ01406760,,,UX149R1,個,1,JPY,0,,2016/11/29,2017/11/28,,12,0,1,1414242,2800,,
QJ01406829,,,UX149R1,個,1,JPY,0,,2016/11/24,2017/11/23,,12,0,1,1411185,900,,
QJ01406991,,,UX142F2,個,1,JPY,0,,2016/11/1,2017/10/31,,12,0,1,1406991,500,,
QJ01407026,,,UX149R1,個,1,JPY,0,,2016/11/17,2017/11/16,,12,0,1,1407566,1800,,
