試算番号（明細）,バージョン1,PLANID,品目コード,基本数量単位,数量,販売伝票通貨,標準単価,□S販売単価,契約開始日,契約終了日,解約日,契約期間数,更新期間数,HARIS伝票区分,受注伝票番号,受注明細番号,□前受注伝票番号,□前受注明細番号
QJ00742189,,,UX14383,個,1,JPY,0,,2014/5/1,2019/4/30,,60,0,1,742789,2000,,
QJ00742368,,,UX141F3,個,1,JPY,0,,2014/4/1,2019/3/31,,60,0,1,742730,200,,
QJ00742369,,,UX141D3,個,1,JPY,0,,2014/5/1,2019/4/30,,60,0,1,742728,200,,
QJ00742540,,,UX142E2,個,1,JPY,0,,2014/5/1,2018/4/30,,48,0,1,742540,400,,
QJ00743990,,,UX14762,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,743990,1200,,
QJ00743990,,,UX14762,個,1,JPY,0,,2018/4/1,2019/3/31,,12,0,1,743990,1300,,
QJ00743990,,,UX142E2,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,743990,1700,,
QJ00743990,,,UX142E2,個,1,JPY,0,,2018/4/1,2019/3/31,,12,0,1,743990,1800,,
QJ00744060,,,UX14383,個,1,JPY,0,,2014/4/1,2019/3/31,,60,0,1,744081,200,,
QJ00744062,,,UX14383,個,1,JPY,0,,2014/5/1,2019/4/30,,60,0,1,744180,200,,
QJ00744126,,,UXA40T2,個,1,JPY,0,,2014/4/1,2019/3/31,,60,0,1,744132,100,,
QJ00744248,,,UXA40T2,個,1,JPY,0,,2014/4/10,2019/3/31,,60,0,1,744750,200,,
QJ00744588,,,UX14383,個,1,JPY,0,,2014/6/1,2019/5/31,,60,0,1,744588,200,,
QJ00744671,,,UX142K3,個,1,JPY,0,,2014/6/1,2019/5/31,,60,0,1,1072090,100,,
QJ00744671,,,UX142P3,個,100,JPY,0,,2014/6/1,2019/5/31,,60,0,1,1072090,200,,
QJ00744671,,,UX143T3,個,30,JPY,0,,2014/6/1,2019/5/31,,60,0,1,1072090,300,,
QJ00744671,,,UX142V3,個,100,JPY,0,,2014/6/1,2019/5/31,,60,0,1,1072090,400,,
QJ00744671,,,UX141G3,個,1,JPY,0,,2014/6/1,2019/5/31,,60,0,1,1072090,500,,
QJ00744671,,,UX142G2,個,1,JPY,0,,2014/6/1,2019/5/31,,60,0,1,1072090,600,,
QJ00744671,,,UX14293,個,1,JPY,0,,2014/6/1,2019/5/31,,60,0,1,1072090,700,,
QJ00744786,,,UX14383,個,1,JPY,0,,2014/5/1,2019/4/30,,60,0,1,744786,200,,
QJ00744945,,,UX14413,個,1,JPY,0,,2014/5/2,2018/5/1,,48,0,1,746303,100,,
QJ00745007,,,UX141F3,個,1,JPY,0,,2014/5/7,2019/5/6,,60,0,1,745007,200,,
QJ00745726,,,UX14383,個,1,JPY,0,,2014/6/1,2019/5/31,,60,0,1,746383,300,,
QJ00746039,,,UX14383,個,1,JPY,0,,2014/5/1,2019/4/30,,60,0,1,746520,100,,
QJ00747289,,,UX141D3,個,1,JPY,0,,2014/5/1,2019/4/30,,60,0,1,747289,100,,
QJ00747515,,,UX14383,個,1,JPY,0,,2014/5/1,2019/4/30,,60,0,1,747647,100,,
QJ00749726,,,UX14383,個,1,JPY,0,,2014/6/1,2019/5/31,,60,0,1,749806,200,,
QJ00750000,,,UX14383,個,1,JPY,0,,2014/7/1,2019/6/30,,60,0,1,750321,100,,
QJ00752264,,,UX14383,個,1,JPY,0,,2014/6/1,2019/5/31,,60,0,1,759928,2900,,
QJ00752316,,,UX14403,個,1,JPY,0,,2013/12/1,2018/11/30,,60,0,1,752316,200,,
QJ00752461,,,UX14383,個,1,JPY,0,,2014/6/10,2019/6/9,,60,0,1,752461,2100,,
QJ00752794,,,UX14383,個,1,JPY,0,,2014/6/1,2019/5/31,,60,0,1,752794,100,,
QJ00753993,,,UX14413,個,1,JPY,0,,2014/6/1,2018/5/31,,48,0,1,753993,400,,
QJ00754543,,,UX14393,個,1,JPY,0,,2014/6/1,2019/5/31,,60,0,1,754543,200,,
QJ00754953,,,UX14383,個,1,JPY,0,,2014/5/1,2019/4/30,,60,0,1,754953,100,,
QJ00754954,,,UX14403,個,1,JPY,0,,2014/5/1,2019/4/30,,60,0,1,754954,100,,
QJ00754968,,,UX14383,個,1,JPY,0,,2014/4/1,2019/3/31,,60,0,1,755913,200,,
QJ00755347,,,UX14343,個,1,JPY,0,,2014/5/1,2019/4/30,,60,0,1,762377,1000,,
QJ00755487,,,UX14403,個,1,JPY,0,,2014/4/1,2019/3/31,,60,0,1,755487,200,,
QJ00755635,,,UX14383,個,1,JPY,0,,2014/5/26,2019/5/31,,60,0,1,761902,1900,,
