API区分,試算番号,バージョン,自動更新,アカウント名（契約先/納入先）,請求先（受注先）
I,QJ00000202,1,,1000305645,1000005833
I,QJ00000281,1,,1000015081,1000005873
I,QJ00000658,1,,1000005803,1000014547
I,QJ00002400,1,,1000305535,1000031255
I,QJ00002434,1,,1000270785,1000305491
I,QJ00002802,1,,1000305693,1000305693
I,QJ00003294,1,,1000305871,1000009119
I,QJ00003360,1,,1000258660,1000004915
I,QJ00003398,1,,1000305732,1000013814
I,QJ00003638,1,,1000001841,1000001841
I,QJ00003691,1,,1000014660,1000004621
I,QJ00003692,1,,1000007651,1000016917
I,QJ00003693,1,,1000012229,1000008050
I,QJ00004318,1,,1000306300,1000027511
I,QJ00004359,1,,1000302750,1000028443
I,QJ00004592,1,,1000178353,1000012488
I,QJ00004604,1,,1000305757,1000018431
I,QJ00004907,1,,1000084849,1000030695
I,QJ00004908,1,,1000306351,1000003706
I,QJ00005113,1,,1000206007,1000015341
I,QJ00005307,1,,1000008222,1000008222
I,QJ00005333,1,,1000306189,1000013671
I,QJ00016691,1,,1000042633,1000012942
I,QJ00016692,1,,1000023721,1000023661
I,QJ00016693,1,,1000050629,1000015013
I,QJ00016694,1,,1000083751,1000028443
I,QJ00016695,1,,1000083853,1000015013
I,QJ00016696,1,,1000084823,1000013980
I,QJ00016697,1,,1000081356,1000000453
I,QJ00016698,1,,1000019162,1000038207
I,QJ00016699,1,,1000050169,1000027865
I,QJ00016700,1,,1000076168,1000014654
I,QJ00016701,1,,1000014615,1000017155
I,QJ00016702,1,,1000050304,1000038501
I,QJ00016703,1,,1000049028,1000017185
I,QJ00016704,1,,1000070800,1000014654
I,QJ00016705,1,,1000050307,1000027724
I,QJ00016706,1,,1000050587,1000014654
I,QJ00016707,1,,1000050049,1000021786
I,QJ00016708,1,,1000050041,1000021786
I,QJ00016709,1,,1000084864,1000021786
I,QJ00016710,1,,1000050047,1000027865
I,QJ00016711,1,,1000039306,1000021786
I,QJ00016712,1,,1000042197,1000021786
I,QJ00016713,1,,1000050131,1000021786
I,QJ00016714,1,,1000043322,1000014595
I,QJ00016715,1,,1000074898,1000027783
I,QJ00016716,1,,1000083690,1000027854
I,QJ00016717,1,,1000084244,1000017177
I,QJ00016718,1,,1000040938,1000021786
I,QJ00016719,1,,1000039367,1000027873
I,QJ00016720,1,,1000050709,1000017177
I,QJ00016721,1,,1000076164,1000027753
I,QJ00016722,1,,1000076151,1000017184
I,QJ00016723,1,,1000305185,1000014711
I,QJ00016724,1,,1000305186,1000027715
I,QJ00016725,1,,1000021754,1000014595
I,QJ00016726,1,,1000039163,1000012874
I,QJ00016727,1,,1000021824,1000021786
I,QJ00016728,1,,1000074430,1000014270
I,QJ00016729,1,,1000001681,1000019563
I,QJ00016730,1,,1000043701,1000024879
I,QJ00016731,1,,1000022477,1000022477
I,QJ00016732,1,,1000041055,1000022582
