試算番号（明細）,バージョン1,PLANID,品目コード,基本数量単位,数量,販売伝票通貨,標準単価,□S販売単価,契約開始日,契約終了日,解約日,契約期間数,更新期間数,HARIS伝票区分,受注伝票番号,受注明細番号,□前受注伝票番号,□前受注明細番号
QJ00000202,,,UXA40T0,個,1,JPY,0,,2011/10/05,2014/10/04,,36,0,1,41506,900,,
QJ00000281,,,UXA40T0,個,1,JPY,0,,2011/10/01,2014/09/30,,36,0,1,281,1300,,
QJ00000658,,,UXA40T2,個,1,JPY,0,,2011/11/01,2016/10/31,,60,0,1,658,200,,
QJ00002400,,,UXA40T0,個,1,JPY,0,,2011/10/06,2014/10/06,,36,0,1,36414,1000,,
QJ00002434,,,UX149R1,個,1,JPY,0,,2011/10/12,2012/09/11,,11,0,1,25175,700,,
QJ00002802,,,UX149R1,個,1,JPY,0,,2011/10/25,2012/10/24,,12,0,1,35006,1400,,
QJ00003294,,,UX149R1,個,1,JPY,0,,2011/10/13,2012/10/12,,12,0,1,36905,800,,
QJ00003360,,,UX149R1,個,1,JPY,0,,2011/10/25,2012/10/24,,12,0,1,34785,2200,,
QJ00003398,,,UX149R1,個,1,JPY,0,,2011/10/26,2012/10/25,,12,0,1,36618,1700,,
QJ00003638,,,UXA40T0,個,1,JPY,0,,2011/10/17,2012/10/16,,12,0,1,36138,1700,,
QJ00003691,,,UX149R1,個,1,JPY,0,,2011/10/19,2012/10/18,,12,0,1,29196,1900,,
QJ00003692,,,UX149R1,個,1,JPY,0,,2011/11/01,2012/10/31,,12,0,1,3692,1800,,
QJ00003693,,,UXA40T2,個,1,JPY,0,,2011/10/01,2016/09/30,,60,0,1,35956,200,,
QJ00004318,,,UX149R1,個,1,JPY,0,,2011/11/01,2012/10/31,,12,0,1,39515,1600,,
QJ00004359,,,UXA40T0,個,1,JPY,0,,2011/10/12,2014/10/11,,36,0,1,50262,1300,,
QJ00004592,,,UXA40T2,個,1,JPY,0,,2011/11/01,2016/10/31,,60,0,1,35100,1700,,
QJ00004604,,,UX149R1,個,1,JPY,0,,2011/10/12,2012/10/11,,12,0,1,39204,1800,,
QJ00004907,,,UX149R1,個,1,JPY,0,,2011/10/26,2012/10/25,,12,0,1,35498,1500,,
QJ00004908,,,UXA40T0,個,1,JPY,0,,2011/10/13,2013/10/12,,24,0,1,36219,2000,,
QJ00005113,,,UXA40T4,個,1,JPY,0,,2011/11/01,2016/10/31,,60,0,1,27123,200,,
QJ00005307,,,UX149R1,個,1,JPY,0,,2011/10/24,2012/10/23,,12,0,1,30293,1600,,
QJ00005333,,,UX149R1,個,1,JPY,0,,2011/10/13,2012/10/12,,12,0,1,36441,1400,,
QJ00016691,,,UXA40T0,個,1,JPY,0,,2010/07/01,2013/06/30,,36,0,1,16691,10,,
QJ00016692,,,UXA40T0,個,1,JPY,0,,2009/10/01,2012/09/30,,36,0,1,16692,10,,
QJ00016693,,,UXA40T0,個,1,JPY,0,,2010/02/01,2013/01/31,,36,0,1,16693,10,,
QJ00016694,,,UXA40T0,個,1,JPY,0,,2010/03/01,2013/02/28,,36,0,1,16694,10,,
QJ00016695,,,UXA40T0,個,1,JPY,0,,2011/03/01,2014/02/28,,36,0,1,16695,10,,
QJ00016696,,,UXA40T0,個,1,JPY,0,,2009/09/01,2012/08/31,,36,0,1,16696,10,,
QJ00016697,,,UXA40T0,個,1,JPY,0,,2009/10/01,2012/09/30,,36,0,1,16697,10,,
QJ00016698,,,UXA40T0,個,1,JPY,0,,2010/05/01,2013/04/30,,36,0,1,16698,10,,
QJ00016699,,,UXA40T0,個,1,JPY,0,,2010/06/01,2013/05/31,,36,0,1,16699,10,,
QJ00016700,,,UXA40T0,個,1,JPY,0,,2011/03/01,2014/02/28,,36,0,1,16700,10,,
QJ00016701,,,UXA40T0,個,1,JPY,0,,2010/12/01,2013/11/30,,36,0,1,16701,10,,
QJ00016702,,,UXA40T0,個,1,JPY,0,,2009/08/01,2012/07/31,,36,0,1,16702,10,,
QJ00016703,,,UXA40T0,個,1,JPY,0,,2009/12/01,2012/11/30,,36,0,1,16703,10,,
QJ00016704,,,UXA40T0,個,1,JPY,0,,2010/01/01,2012/12/31,,36,0,1,16704,10,,
QJ00016705,,,UXA40T0,個,1,JPY,0,,2009/08/01,2012/07/31,,36,0,1,16705,10,,
QJ00016706,,,UXA40T0,個,1,JPY,0,,2009/09/01,2012/08/31,,36,0,1,16706,10,,
QJ00016707,,,UXA40T0,個,1,JPY,0,,2009/10/01,2012/09/30,,36,0,1,16707,10,,
QJ00016708,,,UXA40T0,個,1,JPY,0,,2009/10/01,2012/09/30,,36,0,1,16708,10,,
QJ00016709,,,UXA40T0,個,1,JPY,0,,2010/03/01,2013/02/28,,36,0,1,16709,10,,
QJ00016710,,,UXA40T0,個,1,JPY,0,,2010/03/01,2013/02/28,,36,0,1,16710,10,,
QJ00016711,,,UXA40T0,個,1,JPY,0,,2010/06/01,2013/05/31,,36,0,1,16711,10,,
QJ00016712,,,UXA40T0,個,1,JPY,0,,2010/06/01,2013/05/31,,36,0,1,16712,10,,
QJ00016713,,,UXA40T0,個,1,JPY,0,,2010/06/01,2013/05/31,,36,0,1,16713,10,,
QJ00016714,,,UXA40T0,個,1,JPY,0,,2010/03/01,2013/02/28,,36,0,1,16714,10,,
QJ00016715,,,UXA40T0,個,1,JPY,0,,2010/06/01,2013/05/31,,36,0,1,16715,10,,
QJ00016716,,,UXA40T0,個,1,JPY,0,,2010/07/01,2013/06/30,,36,0,1,16716,10,,
QJ00016717,,,UXA40T0,個,1,JPY,0,,2010/08/01,2013/07/31,,36,0,1,16717,10,,
QJ00016718,,,UXA40T0,個,1,JPY,0,,2010/09/01,2013/08/31,,36,0,1,16718,10,,
QJ00016719,,,UXA40T0,個,1,JPY,0,,2010/09/01,2013/08/31,,36,0,1,16719,10,,
QJ00016720,,,UXA40T0,個,1,JPY,0,,2011/01/01,2013/12/31,,36,0,1,16720,10,,
QJ00016721,,,UXA40T0,個,1,JPY,0,,2011/03/01,2014/02/28,,36,0,1,16721,10,,
QJ00016722,,,UXA40T0,個,1,JPY,0,,2011/03/01,2014/02/28,,36,0,1,16722,10,,
QJ00016723,,,UXA40T0,個,1,JPY,0,,2011/08/01,2014/07/31,,36,0,1,16723,10,,
QJ00016724,,,UXA40T0,個,1,JPY,0,,2011/08/05,2014/08/04,,36,0,1,16724,10,,
QJ00016725,,,UXA40T0,個,1,JPY,0,,2010/08/01,2013/07/31,,36,0,1,16725,10,,
QJ00016726,,,UXA40T0,個,1,JPY,0,,2011/05/01,2014/04/30,,36,0,1,16726,10,,
