試算番号（明細）,バージョン1,PLANID,品目コード,基本数量単位,数量,販売伝票通貨,標準単価,□S販売単価,契約開始日,契約終了日,解約日,契約期間数,更新期間数,HARIS伝票区分,受注伝票番号,受注明細番号,□前受注伝票番号,□前受注明細番号
QJ00793342,,,UX142M3,個,1,JPY,0,,2014/8/1,2019/7/31,,60,0,1,793844,600,,
QJ00816180,,,UX142M3,個,1,JPY,0,,2014/9/1,2019/8/31,,60,0,1,816180,300,,
QJ00821852,,,UX143S3,個,20,JPY,0,,2014/9/1,2019/8/31,,60,0,1,821852,200,,
QJ00821852,,,UX142M3,個,1,JPY,0,,2014/9/1,2019/8/31,,60,0,1,821852,300,,
QJ00828014,,,UX142T3,個,1,JPY,0,,2014/9/1,2019/8/31,,60,0,1,828014,800,,
QJ00839008,,,UX142T3,個,1,JPY,0,,2014/9/1,2019/8/31,,60,0,1,839008,800,,
QJ00854905,,,UX142M3,個,1,JPY,0,,2014/10/1,2019/9/30,,60,0,1,854905,400,,
QJ00880949,,,UX142T3,個,1,JPY,0,,2014/11/1,2019/10/31,,60,0,1,880949,1000,,
QJ00888187,,,UX14895,個,1,JPY,0,,2014/12/1,2019/11/30,,60,0,1,888187,700,,
QJ00888543,,,UX142T3,個,1,JPY,0,,2014/12/1,2019/11/30,,60,0,1,888543,500,,
QJ00893388,,,UX14895,個,1,JPY,0,,2014/12/1,2019/11/30,,60,0,1,893388,1500,,
QJ01206093,,,UX142Q3,個,1,JPY,0,,2016/2/1,2019/5/21,,40,0,1,1206093,900,,
QJ01210784,,,UX142Q3,個,1,JPY,0,,2016/2/1,2019/5/21,,40,0,1,1211454,900,,
QJ01224813,,,UX142Q3,個,1,JPY,0,,2016/4/1,2019/7/31,,40,0,1,1224813,900,,
QJ01277243,,,UX142F2,個,1,JPY,0,,2018/6/3,2019/6/2,,12,0,1,1287825,3000,,
QJ01296132,,,UX142Q3,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1296132,600,,
QJ01296132,,,UX142Q3,個,1,JPY,0,,2018/7/1,2019/4/30,,10,0,1,1296132,800,,
QJ01296132,,,UX142W3,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1296132,1000,,
QJ00435809,,,UX14383,個,1,JPY,0,,2013/4/3,2018/4/2,,60,0,1,445784,1200,,
QJ00577237,,,UX142M3,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,587285,500,,
QJ00582925,,,UX142M3,個,1,JPY,0,,2013/10/10,2018/10/9,,60,0,1,594351,1400,,
QJ00675353,,,UX142M3,個,1,JPY,0,,2014/2/1,2019/1/31,,60,0,1,691298,1300,,
QJ00675353,,,UX142T3,個,1,JPY,0,,2014/2/1,2019/1/31,,60,0,1,691298,1500,,
QJ00715596,,,UX142M3,個,1,JPY,0,,2014/2/1,2019/1/31,,60,0,1,720052,1100,,
QJ00715596,,,UX142T3,個,1,JPY,0,,2014/2/1,2019/1/31,,60,0,1,720052,1400,,
QJ00733092,,,UX14383,個,1,JPY,0,,2014/4/1,2019/3/31,,60,0,1,733092,100,,
QJ01495527,,,UX149R1,個,1,JPY,0,,2017/3/30,2018/3/29,,12,0,1,1499128,2500,,
QJ01543944,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1543944,400,,
QJ01429706,,,UX142F2,個,1,JPY,0,,2016/12/1,2017/11/30,,12,0,1,1429706,500,,
QJ01441914,,,UX142F2,個,1,JPY,0,,2017/2/1,2018/1/31,,12,0,1,1441914,500,,
QJ01466875,,,UX149R1,個,1,JPY,0,,2017/3/2,2018/3/1,,12,0,1,1478739,700,,
QJ01469942,,,UX142F2,個,1,JPY,0,,2017/3/1,2018/2/28,,12,0,1,1469942,400,,
QJ01480110,,,UX142F2,個,1,JPY,0,,2017/3/1,2018/2/28,,12,0,1,1480110,400,,
