API区分,試算番号,バージョン,自動更新,アカウント名（契約先/納入先）,請求先（受注先）
I,QJ01531689,1,,1000013526,1000013526
I,QJ01531693,1,,1000007002,1000031731
I,QJ01531694,1,,1000083440,1000013472
I,QJ01531724,1,,1003001586,1000017665
I,QJ01531726,1,,1000010801,1000010801
I,QJ01531733,1,,1000072128,1000016675
I,QJ01531739,1,,1000080142,1000016675
I,QJ01531746,1,,1000019344,1000026805
I,QJ01531769,1,,1000050312,1000027862
I,QJ01531770,1,,1000096101,1000021786
I,QJ01531794,1,,1000001574,1000001574
I,QJ01531891,1,,1003001191,1000008927
I,QJ01531896,1,,1000041174,1000002861
I,QJ01531897,1,,1000016218,1003001610
I,QJ01531944,1,,1000074339,1000024638
I,QJ01532033,1,,1000082331,1000004921
I,QJ01532034,1,,1000074819,1000024641
I,QJ01532214,1,,1000076171,1000005964
I,QJ01532217,1,,1000024884,1000005964
I,QJ01532298,1,,1000334877,1000012874
I,QJ01532375,1,,1003001242,1000005840
I,QJ01532393,1,,1000015055,1000015055
I,QJ01532421,1,,1000084212,1000016675
I,QJ01532439,1,,1000076202,1000017545
I,QJ01532440,1,,1000080977,1000080977
I,QJ01532443,1,,1000028866,1000005180
I,QJ01532553,1,,1000012206,1000012206
I,QJ01532816,1,,1000041211,1000009703
I,QJ01532962,1,,1000083290,1000025177
I,QJ01532963,1,,1000038161,1000038161
I,QJ01533123,1,,1000135732,1000020768
I,QJ01533148,1,,1000012452,1000012452
I,QJ01533151,1,,1000080434,1000003617
I,QJ01533347,1,,1000049454,1000024147
I,QJ01533432,1,,1000082461,1000005410
I,QJ01533456,1,,1000023452,1000023452
I,QJ01533457,1,,1000078645,1000028498
I,QJ01533458,1,,1000048135,1000022230
I,QJ01533517,1,,1003001014,1000037466
I,QJ01533666,1,,1000024013,1000026254
I,QJ01533791,1,,1000018142,1000023072
I,QJ01534001,1,,1000050968,1000000454
I,QJ01534079,1,,1000039302,1000000460
I,QJ01534121,1,,1000080767,1000006765
I,QJ01534170,1,,1000010875,1000010875
I,QJ01534222,1,,1000016327,1000016327
I,QJ01534357,1,,1000295949,1000033104
I,QJ01534360,1,,1000005849,1000005849
I,QJ01534361,1,,1000001679,1000010412
I,QJ01534362,1,,1000012520,1000012520
I,QJ01534364,1,,1000318475,1000318475
I,QJ01534365,1,,1000134726,1000019833
I,QJ01534369,1,,1000012516,1000333744
I,QJ01534391,1,,1000037714,1000037714
I,QJ01534428,1,,1000037961,1000003855
I,QJ01534566,1,,1003000300,1000014711
I,QJ01534568,1,,1000012688,1000012688
I,QJ01534840,1,,1000077263,1000028488
I,QJ01535242,1,,1000049279,1000028450
I,QJ01535243,1,,1000074675,1000028458
I,QJ01535245,1,,1000029201,1000029201
I,QJ01535253,1,,1000004087,1000003944
I,QJ01535256,1,,1003000709,1000031557
I,QJ01535258,1,,1000323131,1000323131
I,QJ01535306,1,,1000010208,1000005964
I,QJ01535362,1,,1000033340,1000033183
I,QJ01535417,1,,1003001427,1000004783
I,QJ01535700,1,,1003001256,1003001475
I,QJ01535833,1,,1000081129,1000029273
I,QJ01535895,1,,1000095905,1000095905
I,QJ01536083,1,,1000043896,1000028519
I,QJ01536192,1,,1000319682,1000307167
I,QJ01536193,1,,1000009338,1000009338
I,QJ01536213,1,,1000313034,1000313034
I,QJ01536229,1,,1000014034,1000014034
I,QJ01536247,1,,1000323978,1000028488
I,QJ01536399,1,,1000012467,1000012467
I,QJ01536434,1,,1000045651,1000021070
I,QJ01536464,1,,1000012580,1000012580
I,QJ01536556,1,,1000074987,1000032811
I,QJ01536636,1,,1000012190,1000012190
I,QJ01536637,1,,1000012190,1000012190
I,QJ01536646,1,,1000037745,1000024948
I,QJ01536828,1,,1000085259,1000025231
I,QJ01536913,1,,1000043687,1000029357
I,QJ01537098,1,,1000033594,1000014514
I,QJ01537113,1,,1000043820,1000043820
I,QJ01537120,1,,1000049250,1000014711
I,QJ01537121,1,,1001001004,1000014711
I,QJ01537133,1,,1000085589,1000006765
I,QJ01537134,1,,1000085580,1000006765
I,QJ01537137,1,,1001003064,1000031434
I,QJ01537141,1,,1000082657,1000006765
I,QJ01537144,1,,1000051021,1000051021
I,QJ01537148,1,,1000005118,1000005118
I,QJ01537157,1,,1000080689,1000080689
I,QJ01537190,1,,1000002482,1000002482
I,QJ01537229,1,,1000028102,1000028066
I,QJ01537244,1,,1000026078,1001000366
I,QJ01537260,1,,1000010351,1000010351
I,QJ01537282,1,,1000011003,1000011003
I,QJ01537369,1,,1000029446,1000029446
I,QJ01537450,1,,1000330636,1000330636
I,QJ01537510,1,,1000075318,1000075318
I,QJ01537512,1,,1000084801,1000021534
I,QJ01537561,1,,1000021994,1000037771
I,QJ01537626,1,,1000013958,1000013958
I,QJ01537720,1,,1000031687,1000031687
I,QJ01537721,1,,1000025462,1000025462
I,QJ01537822,1,,1000012188,1000012188
I,QJ01537847,1,,1000025745,1000014270
I,QJ01537857,1,,1001000702,1001000702
I,QJ01537858,1,,1000234166,1000325574
I,QJ01537925,1,,1000039542,1000005228
I,QJ01537962,1,,1000037638,1000319216
I,QJ01538186,1,,1000311230,1000311230
I,QJ01538191,1,,1000150619,1000333741
I,QJ01538207,1,,1000050023,1000050023
I,QJ01538209,1,,1000310374,1000310374
I,QJ01538212,1,,1000013247,1000013247
I,QJ01538321,1,,1000331480,1000331480
I,QJ01538412,1,,1000076144,1000076144
I,QJ01538518,1,,1000293490,1000315816
I,QJ01538644,1,,1000311551,1000011529
I,QJ01538692,1,,1000004657,1000022488
I,QJ01538798,1,,1000032936,1000006765
I,QJ01538851,1,,1000009273,1000009273
I,QJ01538899,1,,1000019423,1000031060
I,QJ01538947,1,,1003000300,1000014711
I,QJ01538950,1,,1000016738,1000016675
I,QJ01538953,1,,1003001308,1000031060
I,QJ01538961,1,,1000001762,1000001770
I,QJ01539052,1,,1000042653,1000019311
I,QJ01539119,1,,1000004087,1000325204
I,QJ01539149,1,,1000118933,1000308318
I,QJ01539228,1,,1000006882,1000006882
I,QJ01539270,1,,1000083994,1000015718
I,QJ01539293,1,,1000032917,1000032917
I,QJ01539302,1,,1000020409,1000032312
I,QJ01539374,1,,1000019060,1000019060
I,QJ01539377,1,,1000214450,1000038577
I,QJ01539464,1,,1000076508,1000009703
I,QJ01539488,1,,1003000669,1003001595
I,QJ01539490,1,,1000022555,1000022555
I,QJ01539571,1,,1000009999,1000009999
I,QJ01539573,1,,1000308800,1000308800
I,QJ01539626,1,,1000016220,1000016220
I,QJ01539669,1,,1000009883,1000009883
I,QJ01539670,1,,1000016695,1000016675
I,QJ01539671,1,,1001001176,1000030695
I,QJ01539778,1,,1000010130,1000010130
I,QJ01539818,1,,1000096923,1000096923
I,QJ01539819,1,,1000049348,1000006832
I,QJ01539820,1,,1003001380,1000033259
I,QJ01539821,1,,1000006922,1000006922
I,QJ01539822,1,,1001000124,1001000124
I,QJ01539877,1,,1000018858,1000018858
I,QJ01539885,1,,1000019519,1000019519
I,QJ01540003,1,,1000082208,1000082208
I,QJ01540108,1,,1000321838,1000321838
I,QJ01540121,1,,1000004123,1000004123
I,QJ01540168,1,,1000084866,1000004775
I,QJ01540291,1,,1000076209,1000076209
I,QJ01540340,1,,1000327091,1000327091
I,QJ01540416,1,,1000075855,1000075855
I,QJ01540508,1,,1000000806,1000000806
I,QJ01540509,1,,1000004751,1000004697
I,QJ01540593,1,,1000083020,1000318879
I,QJ01540594,1,,1000025147,1000025147
I,QJ01541255,1,,1001001880,1000023139
I,QJ01541413,1,,1000228324,1000015013
I,QJ01541414,1,,1000009204,1000009204
I,QJ01541502,1,,1000004925,1000013806
I,QJ01541503,1,,1000332052,1000332052
I,QJ01541738,1,,1000015714,1000006109
I,QJ01541741,1,,1000013705,1000004995
I,QJ01541760,1,,1000317575,1000032973
I,QJ01542073,1,,1000014770,1000014770
I,QJ01542108,1,,1000332307,1000332307
I,QJ01542109,1,,1000010218,1000010218
I,QJ01542206,1,,1000324371,1000324371
I,QJ01542243,1,,1001002053,1000005180
I,QJ01542244,1,,1000073964,1000030027
I,QJ01542257,1,,1000085486,1000025943
I,QJ01542269,1,,1000076698,1000033182
I,QJ01542295,1,,1000326098,1000326098
I,QJ01542306,1,,1000026037,1000033183
I,QJ01542309,1,,1000102675,1000030649
I,QJ01542348,1,,1000322866,1000032631
I,QJ01542376,1,,1000210306,1000007403
I,QJ01542526,1,,1000043902,1000006377
I,QJ01542566,1,,1000023376,1000020774
I,QJ01542568,1,,1000003089,1000027157
I,QJ01542658,1,,1000330504,1000032486
I,QJ01542739,1,,1000324246,1000324246
