試算番号（明細）,バージョン1,PLANID,品目コード,基本数量単位,数量,販売伝票通貨,標準単価,□S販売単価,契約開始日,契約終了日,解約日,契約期間数,更新期間数,HARIS伝票区分,受注伝票番号,受注明細番号,□前受注伝票番号,□前受注明細番号
QJ01549974,,,UX142A2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1549974,100,,
QJ01549984,,,UX149R1,個,1,JPY,0,,2017/6/20,2018/6/19,,12,0,1,1558577,1000,,
QJ01550146,,,UX149R1,個,1,JPY,0,,2017/6/29,2018/6/28,,12,0,1,1560875,1500,,
QJ01550242,,,UX149R1,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1550242,400,,
QJ01550281,,,UX149R1,個,1,JPY,0,,2017/6/26,2018/6/25,,12,0,1,1557423,1600,,
QJ01550397,,,UX149R1,個,1,JPY,0,,2017/6/26,2018/6/25,,12,0,1,1557333,1400,,
QJ01550398,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1550398,900,,
QJ01550399,,,UX149R1,個,1,JPY,0,,2017/6/29,2018/6/28,,12,0,1,1560892,1300,,
QJ01550504,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1550504,100,,
QJ01550547,,,UX149R1,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1559563,2500,,
QJ01550591,,,UX14403,個,1,JPY,0,,2017/6/1,2019/7/31,,26,0,1,1550591,100,,
QJ01550593,,,UX149R1,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1557016,2100,,
QJ01550647,,,UX142F2,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1550647,400,,
QJ01550648,,,UX142F2,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1550648,400,,
QJ01550686,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1550686,400,,
QJ01550711,,,UX142F2,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1550711,500,,
QJ01550712,,,UX142F2,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1550712,100,,
QJ01550718,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1550718,600,,
QJ01550720,,,UX149R1,個,1,JPY,0,,2017/6/29,2018/6/28,,12,0,1,1560789,1800,,
QJ01550764,,,UX14293,個,1,JPY,0,,2017/6/15,2018/6/14,,12,0,1,1550764,100,,
QJ01550862,,,UX142F2,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1550862,500,,
QJ01550863,,,UX142G2,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1550863,100,,
QJ01551093,,,UX149R1,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1560316,1100,,
QJ01551232,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1551232,300,,
QJ01551294,,,UX142F2,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1551294,400,,
QJ01551294,,,UX142C2,個,25,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1551294,500,,
QJ01551294,,,UX14353,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1551294,600,,
QJ01551354,,,UX142F2,個,1,JPY,0,,2017/3/1,2018/2/28,,12,0,1,1551354,300,,
QJ01551371,,,UX142F2,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1551371,400,,
QJ01551400,,,UX142F2,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1551400,600,,
QJ01551413,,,UX142F2,個,1,JPY,0,,2018/6/1,2019/5/31,,12,0,1,1551413,500,,
QJ01551431,,,UX149R1,個,1,JPY,0,,2017/8/1,2018/7/31,,12,0,1,1557846,1700,,
QJ01551468,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1551468,400,,
QJ01551648,,,UX142G2,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1551648,100,,
QJ01551648,,,UX14293,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1551648,200,,
QJ01551665,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1551665,600,,
QJ01551694,,,UX14455,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1551694,100,,
QJ01551694,,,UX14353,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1551694,200,,
QJ01551731,,,UX149R1,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1560642,2400,,
QJ01551763,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1551763,1100,,
QJ01551989,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1551989,600,,
QJ01552005,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1552005,500,,
QJ01552158,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1552158,900,,
QJ01552206,,,UX142F2,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1552206,900,,
QJ01552207,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1552207,100,,
QJ01552208,,,UX142F2,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1552208,400,,
QJ01552209,,,UX142F2,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1552209,1000,,
QJ01552244,,,UX142F2,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1552244,800,,
QJ01552280,,,UX142F2,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1552280,700,,
QJ01552582,,,UX142F2,個,1,JPY,0,,2017/3/1,2018/2/28,,12,0,1,1552582,600,,
QJ01552583,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1552583,400,,
QJ01552724,,,UX142A2,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1552724,700,,
QJ01552725,,,UX142A2,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1552725,400,,
QJ01552902,,,UX149R1,個,1,JPY,0,,2017/8/1,2018/7/31,,12,0,1,1559948,3200,,
QJ01552921,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1552921,800,,
QJ01552967,,,UX142F2,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1552967,500,,
QJ01552974,,,UX149R1,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1561622,3300,,
QJ01553080,,,UX149R1,個,1,JPY,0,,2017/8/1,2018/7/30,,12,0,1,1559514,2600,,
QJ01553112,,,UX149R1,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1553112,1100,,
QJ01553112,,,UX14343,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1553112,3400,,
QJ01553379,,,UX149R1,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1560979,1500,,
QJ01553489,,,UX149R1,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1553489,1100,,
QJ01553489,,,UX149R1,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1553489,2300,,
QJ01553573,,,UX149R1,個,1,JPY,0,,2017/8/1,2018/7/31,,12,0,1,1553573,2100,,
QJ01553645,,,UX149R1,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1561185,900,,
QJ01553698,,,UX149R1,個,1,JPY,0,,2017/8/1,2018/7/31,,12,0,1,1564693,2100,,
QJ01553753,,,UX149R1,個,1,JPY,0,,2017/7/4,2018/7/3,,12,0,1,1564411,500,,
QJ01553951,,,UX149R1,個,1,JPY,0,,2017/8/1,2018/7/31,,12,0,1,1553951,1800,,
QJ01554026,,,UX14343,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1554026,100,,
QJ01554028,,,UX142F2,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1554028,400,,
QJ01554073,,,UX149R1,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1558121,3900,,
QJ01554175,,,UX142F2,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1554175,400,,
QJ01554176,,,UX142F2,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1554176,500,,
QJ01554177,,,UX142F2,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1554177,400,,
QJ01554178,,,UX142F2,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1554178,500,,
QJ01554432,,,UX149R1,個,1,JPY,0,,2017/7/7,2018/7/6,,12,0,1,1554432,1500,,
QJ01554433,,,UX149R1,個,1,JPY,0,,2017/7/15,2018/7/14,,12,0,1,1560303,500,,
QJ01554688,,,UX14243,個,1,JPY,0,,2017/8/1,2018/7/31,,12,0,1,1554688,200,,
QJ01554688,,,UX14293,個,1,JPY,0,,2017/8/1,2018/7/31,,12,0,1,1554688,300,,
QJ01554688,,,UX14363,個,1,JPY,0,,2017/8/1,2018/7/31,,12,0,1,1554688,400,,
QJ01554717,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1554717,500,,
QJ01554719,,,UX149R1,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1555207,1800,,
QJ01554725,,,UX149R1,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1561298,1900,,
QJ01554769,,,UX142F2,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1554769,300,,
QJ01554770,,,UX142F2,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1554770,400,,
QJ01554798,,,UX149R1,個,1,JPY,0,,2017/7/3,2018/7/31,,13,0,1,1554798,1000,,
QJ01554963,,,UX149R1,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1554963,500,,
QJ01555264,,,UX149R1,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1560431,1500,,
QJ01555277,,,UX149R1,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1561618,3900,,
QJ01555278,,,UX149R1,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1564823,600,,
QJ01555325,,,UX142F2,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1555325,400,,
QJ01555326,,,UX142F2,個,1,JPY,0,,2018/7/1,2019/6/30,,12,0,1,1555326,500,,
QJ01555331,,,UX149R1,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1555331,2700,,
QJ01555346,,,UX149R1,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1555346,800,,
QJ01555368,,,UX142F2,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1555368,600,,
QJ01555383,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1555383,100,,
QJ01555405,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1555405,100,,
QJ01555407,,,UX142A2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1555407,600,,
QJ01555409,,,UX142A2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1555409,100,,
QJ01555411,,,UX149R1,個,1,JPY,0,,2017/6/29,2018/6/28,,12,0,1,1560793,1900,,
QJ01555442,,,UX149R1,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1555442,700,,
QJ01555451,,,UX142F2,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1555451,500,,
QJ01555458,,,UX142F2,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1555458,600,,
QJ01555492,,,UX142F2,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1555492,800,,
QJ01555493,,,UX142F2,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1555493,600,,
QJ01555497,,,UX142C2,個,25,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1555497,300,,
QJ01555515,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/3/31,,10,0,1,1555515,300,,
QJ01555693,,,UX149R1,個,1,JPY,0,,2017/6/27,2018/6/26,,12,0,1,1558865,1600,,
QJ01555701,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1555701,700,,
QJ01555777,,,UX144E5,個,1,JPY,0,,2017/6/12,2019/12/11,,30,0,1,1555777,100,,
QJ01555840,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1555840,400,,
QJ01555908,,,UX149R1,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1555908,600,,
QJ01555933,,,UX149R1,個,1,JPY,0,,2017/6/28,2018/6/27,,12,0,1,1559776,1700,,
